SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,ortho,meta,para,ortho_r2,meta_r2,para_r2
COC(=O)c1cccc(C(=O)NCc2cccc(-c3cccc(CN4CCNCC4)c3)c2)c1,0.457471182,0.709323526,variable-combination,1,1,0,1,0,0,1,0
CC(=O)c1ccc(NC(=O)NCc2cccc(-c3cccc(-c4cc5c[nH]ccc-5n4)c3O)c2)cc1,0.451004171,0.62213554,poly-substituted,1,2,0,1,0,1,1,0
Cc1cc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)ccc1F,0.346351937,0.748860157,poly-substituted,2,3,0,1,1,2,1,0
COc1ccc(-c2cccc(NC(=O)c3cccc(C#N)c3)c2)cc1CN1CCC(O)CC1,0.174253051,0.896295218,poly-substituted,2,1,0,1,1,0,1,0
N=C(N)c1ccc2[nH]c(-c3cccc(-c4cc(CNC(=O)CO)ccc4O)c3O)cc2c1,0.096153592,0.949493723,poly-substituted,2,2,1,1,0,1,1,0
COC(=O)c1cccc(CNCc2cccc(-c3cccc(-c4nc5ccccc5[nH]4)c3)c2)c1,0.096122996,0.937004345,variable-combination,1,1,0,1,0,0,1,0
CC(C)c1cnc2c(C(F)(F)F)cccc2c1-c1cccc(-c2cccc(S(C)(=O)=O)c2)c1,0.334907681,0.804426757,variable-combination,1,1,0,1,0,0,1,0
O=C(NCc1cccc2ccccc12)[C@@H]1CCCN1C(=O)c1ccc(O)c(-c2ccc(Cl)c(Cl)c2)c1,0.116643434,0.944110505,poly-substituted,2,2,1,1,0,0,1,1
COc1ccc(-c2cccc(-c3cc(OC)cc(OC)c3)c2)cc1,0.176424504,0.85561458,poly-substituted,1,2,0,1,0,0,2,0
CC(C)Oc1c(Cl)cc(Cl)cc1-c1ccc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,0.220566778,0.926643685,poly-substituted,3,2,1,2,0,0,1,1
CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(-c3cccc(F)c3)c2)C1=O,0.38495402,0.912233449,variable-combination,1,1,0,1,0,0,1,0
O=C(Nc1ccc(Cl)cc1)Nc1cccc(-c2cccc(-c3nc4ccccc4[nH]3)c2)c1,0.041732815,0.972201637,variable-combination,1,1,0,1,0,0,1,0
COc1ccc(C(=O)/C=C/c2cc(-c3cc(C)cc(C)c3)ccc2OCCN(C)C)cc1CN(C)C,0.272295383,0.765653106,poly-substituted,2,2,0,1,1,0,2,0
N=C(N)c1cccc(CC(NS(=O)(=O)c2cccc(-c3cccc(Cl)c3)c2)C(=O)N2CCC(CCN)CC2)c1,0.69191303,0.882941863,variable-combination,1,1,0,1,0,0,1,0
Cc1cc(-c2cccc(CNCc3ccc(F)cc3)c2)ccc1S(=O)(=O)NCCN1CCCC1,0.114751526,0.9465748,poly-substituted,2,1,0,1,1,0,1,0
O=c1cc(-c2cccc(-c3cccc(-c4ccccc4)c3)c2)sc(N2CCOCC2)c1,0.180514271,0.853989452,variable-combination,1,1,0,1,0,0,1,0
Cc1cc(C(N)=O)nn1-c1cccc(-c2cc(F)ccc2C(F)(F)F)c1,0.293026654,0.956890056,poly-substituted,1,2,0,1,0,1,1,0
CC(=O)N(Cc1cccc(-c2cccc(CNCCc3ccccc3)c2)c1)C1CCN(Cc2ccccc2)CC1,0.200880182,0.898129403,variable-combination,1,1,0,1,0,0,1,0
Cn1cncc1C(OCc1ccc(C#N)cc1-c1ccc(F)c(Cl)c1)c1ccc(C#N)nc1,0.361633575,0.720817823,poly-substituted,2,2,1,1,0,0,1,1
COc1ccc(-c2cc(OC)c(OC)c(OC)c2)cc1O,0.255760349,0.826766428,poly-substituted,2,3,0,1,1,0,2,1
O=C(Nc1ccccc1)Nc1cccc(-c2cccc(-c3nc4cc(F)ccc4[nH]3)c2)c1,0.405420572,0.634547073,variable-combination,1,1,0,1,0,0,1,0
COc1cc(/C=C(\C#N)C(N)=O)cc(-c2cc(/C=C(\C#N)C(N)=O)cc(OC)c2O)c1O,0.285175365,0.860154918,poly-substituted,3,3,1,2,0,1,2,0
Cc1c[n+](Cc2cccc(-c3cccc(C[n+]4cc(C)c(N)c5ccccc54)c3)c2)c2ccccc2c1N,0.396120258,0.94030051,variable-combination,1,1,0,1,0,0,1,0
COC(=O)c1c(F)cccc1-c1ccc(CNC(=O)C(O)(C(F)(F)F)C(F)(F)F)c(F)c1,0.20944897,0.945587165,poly-substituted,2,2,1,1,0,0,1,1
O=C(CCc1c[nH]cn1)Nc1cccc(-c2cccc(-c3nc4cc(C(F)(F)F)ccc4[nH]3)c2)c1,0.277316069,0.879379457,variable-combination,1,1,0,1,0,0,1,0
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1cccc(-c3cccc(OCCCN4CCOCC4)c3)c1)C2,0.615983339,0.655966678,variable-combination,1,1,0,1,0,0,1,0
Fc1ccc2[nH]c(-c3cccc(-c4cccc(CNCc5cnn(-c6ccccc6)n5)c4)c3)nc2c1,0.219099365,0.859105445,variable-combination,1,1,0,1,0,0,1,0
COc1cc(-c2ccc(C)c(O)c2)cc(OC)c1O,0.261918126,0.765298587,poly-substituted,3,2,0,2,1,0,1,1
CCOc1cccc(-c2cc(C#N)ccc2COCc2cncn2Cc2ccc(Cl)cc2)c1,0.610812092,0.864382168,poly-substituted,1,2,0,1,0,1,1,0
