SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,ortho,meta,para,ortho_r2,meta_r2,para_r2
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3cccc(-c4ccc(C[n+]5ccccc5N)cc4)c3)C[C@H]12,0.160703132,0.956374764,variable-combination,1,1,0,1,0,0,0,1
O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3cccc(Cl)c3)cc1)n2C1CCCCC1,0.266225351,0.839801296,poly-substituted,2,1,1,0,1,0,1,0
c1cc(-c2ccc(CNC3CCOCC3)cc2)cc(-c2nc3ccccc3[nH]2)c1,0.10106972,0.918276214,variable-combination,1,1,0,1,0,0,0,1
CC(C)(C)c1ccc(-c2cc(Cl)c(O)c(C(=O)O)c2)cc1,0.184160477,0.845821937,poly-substituted,1,3,0,0,1,0,2,1
C[C@@H](c1ccc(-c2cccc(-c3noc(O)n3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,0.185206785,0.860247894,variable-combination,1,1,0,0,1,0,1,0
Cn1cncc1C(=O)Nc1cccc(-c2ccc(-c3nc4cc(F)ccc4[nH]3)cc2)c1,0.082574186,0.925034906,variable-combination,1,1,0,1,0,0,0,1
CN(C)Cc1ccc(-c2cccc(Nc3nccc(NCC(O)c4ccccc4)n3)c2)cc1,0.515870589,0.588073467,variable-combination,1,1,0,0,1,0,1,0
Cc1ccc(NC(=O)c2ccnc(N(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,0.122852676,0.902369277,poly-substituted,2,1,1,1,0,0,0,1
N#Cc1cc(Cn2cncn2)cc(-c2ccc(F)cc2)c1,0.264542587,0.827554503,poly-substituted,2,1,0,2,0,0,0,1
Cn1cccc1CCNCc1ccc(-c2cccc(-c3nc4ccccc4[nH]3)c2)cc1,0.159701733,0.923266708,variable-combination,1,1,0,0,1,0,1,0
N#Cc1ccc(-c2cc(C(=O)Nc3ccc(N(Cc4ccccc4)Cc4ccccc4)cc3)ccc2NCCNC(=N)N)cc1,0.184105798,0.864819988,poly-substituted,1,2,0,0,1,1,1,0
COc1ccc(CNCc2ccc(-c3cccc(-c4nc5cccc(C)c5[nH]4)c3)cc2)cc1,0.17773575,0.881983386,variable-combination,1,1,0,0,1,0,1,0
CC(=O)Nc1nc(C(=O)Nc2ccc(-c3cccc(-c4nc5ccccc5[nH]4)c3)cc2)cs1,0.121784835,0.88647977,variable-combination,1,1,0,0,1,0,1,0
N#Cc1cccc(-c2ccc(N(C(=O)Nc3ccccc3)C3CCN(C4CCCC4)CC3)cc2)c1,0.390108254,0.653698725,variable-combination,1,1,0,1,0,0,0,1
O=C(CCCCN1CCCCC1)Nc1ccc(-c2cccc(Br)c2)cc1,0.107008946,0.957402071,variable-combination,1,1,0,0,1,0,1,0
CS(=O)(=O)c1cccc(-c2ccc(CN(Cc3c(F)cccc3Cl)S(=O)(=O)c3ccccc3)cc2)c1,0.298821924,0.865131665,variable-combination,1,1,0,1,0,0,0,1
Cc1cc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)ccc1F,0.346351937,0.748860157,poly-substituted,2,3,0,1,1,2,1,0
COc1ccc(-c2cccc(NC(=O)c3cccc(C#N)c3)c2)cc1CN1CCC(O)CC1,0.174253051,0.896295218,poly-substituted,2,1,0,1,1,0,1,0
Cc1cc(CCCOc2c(C)cc(-c3ccc(N(C)C)cc3)cc2C)on1,0.212666619,0.897196911,poly-substituted,3,1,0,2,1,0,0,1
O=C(O)c1ccc(-c2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1OC1CCCCC1,0.230139828,0.835732345,poly-substituted,2,1,0,1,1,0,0,1
Cc1cc(O)c(C(=O)/C=C/c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1C(=O)/C=C/c1ccc(Cl)cc1,0.381792884,0.837988253,poly-substituted,4,1,2,2,0,0,0,1
COc1ccc(-c2ccc(Cl)cc2)cc1CC(=O)O,0.156203754,0.893547402,poly-substituted,2,1,0,1,1,0,0,1
c1ccc(CN2CCC(NCc3ccc(-c4cccc(CNC5CCCC5)c4)cc3)CC2)cc1,0.4947255,0.66732391,variable-combination,1,1,0,0,1,0,1,0
O=C(NCc1cccc2ccccc12)[C@@H]1CCCN1C(=O)c1ccc(O)c(-c2ccc(Cl)c(Cl)c2)c1,0.116643434,0.944110505,poly-substituted,2,2,1,1,0,0,1,1
Cc1ccc(NC(=O)c2ccnc(NC3CCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,0.22010196,0.816249311,poly-substituted,2,1,1,1,0,0,0,1
CCCCOc1cc(F)c(-c2ccc(CCC(N)(CO)COP(=O)(O)O)cc2)cc1F,0.148412829,0.926680376,poly-substituted,3,1,1,1,1,0,0,1
Cc1cc(-c2ccc(NC(=O)N3CCc4cc(Cl)c(N5CCN(C)CC5)cc43)cc2)ccc1C#N,0.496990296,0.818852825,poly-substituted,2,1,0,1,1,0,0,1
CCc1cc(-c2ccc(F)cc2)c(O)cc1OCCCOc1cc(Oc2ccc(C(=O)O)cc2)ccc1CCC(=O)O,0.397705055,0.756138605,poly-substituted,3,1,1,1,1,0,0,1
CN1CCCC(CN2CCN(Cc3cccc(-c4ccc(-c5nc6ccccc6[nH]5)cc4)c3)CC2)C1,0.298551991,0.800811305,variable-combination,1,1,0,1,0,0,0,1
Nc1cccc(CNCc2cccc(-c3ccc(-c4nc5ccccc5[nH]4)cc3)c2)c1,0.222707699,0.823290427,variable-combination,1,1,0,1,0,0,0,1
CN1CCN(c2ccc(-c3cccc(C(Cc4ccccc4)C(=O)NCC#N)c3)cc2)CC1,0.330911827,0.913156802,variable-combination,1,1,0,0,1,0,1,0
Fc1ccc2[nH]c(-c3cccc(-c4ccc(CN5CCC(CCN6CCCCC6)CC5)cc4)c3)nc2c1,0.31647316,0.749808139,variable-combination,1,1,0,1,0,0,0,1
CC(C)Oc1c(Cl)cc(Cl)cc1-c1ccc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,0.220566778,0.926643685,poly-substituted,3,2,1,2,0,0,1,1
c1ccc(CNCc2cccc(-c3ccc(-c4nc5ccccc5[nH]4)cc3)c2)cc1,0.198412367,0.846064023,variable-combination,1,1,0,1,0,0,0,1
CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(-c3ccncc3)cc2)c1,0.292147289,0.88001433,variable-combination,1,1,0,1,0,0,0,1
Cc1cc(OCc2cc(-c3ccc(OC(F)(F)F)cc3)cc(-c3ccc(OC(F)(F)F)cc3)c2)ccc1OCC(=O)O,0.431790631,0.702310618,poly-substituted,2,1,0,2,0,0,0,1
COc1ccc(C(=O)/C=C/c2cc(-c3cc(C)cc(C)c3)ccc2OCCN(C)C)cc1CN(C)C,0.272295383,0.765653106,poly-substituted,2,2,0,1,1,0,2,0
O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccc(F)c(F)c2)c(Oc2ccccc2)c1,0.17974566,0.899470545,poly-substituted,2,2,1,0,1,0,1,1
