SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,ortho,meta,para,ortho_r2,meta_r2,para_r2
O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3cccc(Cl)c3)cc1)n2C1CCCCC1,0.266225351,0.839801296,poly-substituted,2,1,1,0,1,0,1,0
Cc1ccccc1-c1cc(C(OCc2ccc3ccccc3c2)c2cncn2C)ccc1C#N,0.490363338,0.736817412,poly-substituted,1,2,1,0,0,1,1,0
Cc1noc(NS(=O)(=O)c2ccccc2-c2cccc(CC(C)C)c2)c1C,0.505779912,0.607244524,variable-combination,1,1,1,0,0,0,1,0
CS(=O)(=O)Nc1cccc(-c2ccccc2[C@@H]2Cc3nccn3C2)c1,0.314617733,0.925805086,variable-combination,1,1,0,1,0,1,0,0
CC(=O)c1ccc(NC(=O)NCc2cccc(-c3cccc(-c4cc5c[nH]ccc-5n4)c3O)c2)cc1,0.451004171,0.62213554,poly-substituted,1,2,0,1,0,1,1,0
Cc1ccccc1-c1cc(C(OCc2ccc(I)cc2)c2cncn2C)ccc1C#N,0.307872285,0.825588722,poly-substituted,1,2,1,0,0,1,1,0
Cc1cc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)ccc1F,0.346351937,0.748860157,poly-substituted,2,3,0,1,1,2,1,0
N=C(N)c1ccc2[nH]c(-c3cccc(-c4cc(CNC(=O)CO)ccc4O)c3O)cc2c1,0.096153592,0.949493723,poly-substituted,2,2,1,1,0,1,1,0
N#Cc1cccc(-c2ccccc2Cc2nc(-c3ccc(F)cc3)c(CC(=O)O)s2)c1,0.41530119,0.915419416,variable-combination,1,1,0,1,0,1,0,0
O=C(NCc1cccc2ccccc12)[C@@H]1CCCN1C(=O)c1ccc(O)c(-c2ccc(Cl)c(Cl)c2)c1,0.116643434,0.944110505,poly-substituted,2,2,1,1,0,0,1,1
NC(Cc1cc(Cl)c(Cl)c(-c2ccccc2C(=O)O)c1)C(=O)O,0.364904672,0.871066008,poly-substituted,3,1,1,2,0,1,0,0
COc1cc(-c2ccccc2O)cc(OC)c1O,0.351824205,0.714020105,poly-substituted,3,1,0,2,1,1,0,0
CC(C)Oc1c(Cl)cc(Cl)cc1-c1ccc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,0.220566778,0.926643685,poly-substituted,3,2,1,2,0,0,1,1
COc1cccc(-c2ccccc2C(=O)NCCc2c[nH]c3ccccc23)c1,0.481066027,0.733736802,variable-combination,1,1,0,1,0,1,0,0
COC(=O)CNC(=O)c1ccc(C(=O)NC[C@@H]2COc3ccccc3O2)cc1-c1ccccc1OC,0.205067865,0.943443898,poly-substituted,2,1,1,1,0,1,0,0
O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccc(F)c(F)c2)c(Oc2ccccc2)c1,0.17974566,0.899470545,poly-substituted,2,2,1,0,1,0,1,1
CSCC[C@H](NC(=O)c1ccc(CN[C@H](/C=C/CC(C)C)CC2CCCCC2)cc1-c1ccccc1C)C(=O)[O-],0.23569837,0.893445718,poly-substituted,2,1,1,1,0,1,0,0
CCCCOc1ccc(-c2ccccc2C(=O)O)cc1CNC(=O)c1ccc(C(F)(F)F)cc1F,0.318960939,0.796775032,poly-substituted,2,1,0,1,1,1,0,0
CCCc1nc(CC)c(C(=O)CCN(C(=O)c2ccncc2)c2cccnc2)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCC(C)C)cc1F,0.625680749,0.78925064,poly-substituted,2,1,0,1,1,1,0,0
