SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,ortho,meta,para,ortho_r2,meta_r2,para_r2
Cc1ccccc1-c1cc(C(OCc2ccc3ccccc3c2)c2cncn2C)ccc1C#N,0.490363338,0.736817412,poly-substituted,1,2,1,0,0,1,1,0
CNc1ccc(-c2ccc(C(=O)N[C@@H](CC(C)C)C(=O)O)cc2C(=O)O)c(C(=O)Nc2cccc(C(N)=O)c2)c1,0.394550512,0.732071095,poly-substituted,2,2,1,0,1,1,0,1
Cc1ccccc1-c1cc(C(OCc2ccc(I)cc2)c2cncn2C)ccc1C#N,0.307872285,0.825588722,poly-substituted,1,2,1,0,0,1,1,0
N=C(N)c1ccc2[nH]c(-c3cccc(-c4cc(CNC(=O)CO)ccc4O)c3O)cc2c1,0.096153592,0.949493723,poly-substituted,2,2,1,1,0,1,1,0
NC(Cc1cc(Cl)c(Cl)c(-c2ccccc2C(=O)O)c1)C(=O)O,0.364904672,0.871066008,poly-substituted,3,1,1,2,0,1,0,0
COC(=O)CNC(=O)c1ccc(C(=O)NC[C@@H]2COc3ccccc3O2)cc1-c1ccccc1OC,0.205067865,0.943443898,poly-substituted,2,1,1,1,0,1,0,0
CSCC[C@H](NC(=O)c1ccc(CN[C@H](/C=C/CC(C)C)CC2CCCCC2)cc1-c1ccccc1C)C(=O)[O-],0.23569837,0.893445718,poly-substituted,2,1,1,1,0,1,0,0
COC(=O)N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)Cc1cc([N+](=O)[O-])ccc1-c1cc(C(C)C)ccc1OC,0.555158391,0.882977459,poly-substituted,2,2,1,0,1,1,1,0
Cc1cccc(CNC(=O)OCc2ccccc2)c1-c1c(C)cccc1C(=O)NCCC(C)C,0.517219107,0.81079693,poly-substituted,2,2,2,0,0,2,0,0
CCC(CC)(c1ccccc1)c1ccc(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccccc2F)c1,0.348150191,0.84180533,poly-substituted,2,1,1,1,0,1,0,0
Cc1nnc(-c2ccc(-c3cc(C(=O)NC4CC4)ccc3C)c(C)c2)o1,0.199863194,0.862412927,poly-substituted,2,2,1,0,1,1,1,0
COc1cc(/C=C(\C#N)C(N)=O)cc(-c2cc(/C=C(\C#N)C(N)=O)cc(OC)c2O)c1O,0.285175365,0.860154918,poly-substituted,3,3,1,2,0,1,2,0
CC(C)=CCc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,0.457214031,0.639925161,poly-substituted,2,2,1,0,1,1,0,1
O=[N+]([O-])c1ccc(CSc2ncnc3c2ncn3Cc2ccccc2-c2ccccc2O)cc1,0.284235185,0.917319129,variable-combination,1,1,1,0,0,1,0,0
O=C(O)c1ccc(F)c(-c2ccccc2-c2ccccc2OCc2ccccc2)c1,0.628785158,0.808567208,poly-substituted,2,1,1,1,0,1,0,0
Cn1cncc1C(OCc1ccc(C#N)c(N2CCC(O)C2)n1)c1ccc(C#N)c(-c2ccccc2C(F)(F)F)c1,0.219307877,0.915724351,poly-substituted,2,1,1,1,0,1,0,0
CSCC[C@H](NC(=O)c1ccc(CN(c2cccnc2)S(=O)(=O)c2ccccc2)cc1-c1ccccc1C)C(=O)O,0.357035482,0.986185828,poly-substituted,2,1,1,1,0,1,0,0
CC(C)C[C@H](NC(=O)c1ccc(-c2ccccc2C(=O)Nc2cccc(C(N)=O)c2)c(C(=O)O)c1)C(=O)N(C)C,0.370239806,0.772065923,poly-substituted,2,1,1,0,1,1,0,0
CCOc1ccccc1-c1ccc(-c2nc3ccc(F)cc3c(N[C@H](C)C(=O)O)c2C#N)cc1C,0.194281983,0.914688666,poly-substituted,1,2,1,0,0,1,0,1
Cc1ccccc1-c1cc(C(OCc2ccccc2[N+](=O)[O-])c2cncn2C)ccc1C#N,0.478247541,0.699318763,poly-substituted,1,2,1,0,0,1,1,0
O=C(NCC1CCNCC1)c1ccccc1-c1cc(Cl)ccc1Cl,0.570159113,0.804630857,poly-substituted,1,2,1,0,0,1,1,0
CSCC[C@H](NC(=O)c1ccc(CN[C@H](CO)Cc2ccccc2)cc1-c1ccccc1C)C(=O)O,0.259300153,0.903665946,poly-substituted,2,1,1,1,0,1,0,0
O=C(O)c1cccc(-c2ccccc2-c2cc(Cl)ccc2OCC2CCCC2)n1,0.67473135,0.940095905,poly-substituted,1,2,1,0,0,1,1,0
CCCc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,0.465513777,0.59897236,poly-substituted,2,2,1,0,1,1,0,1
CC(C)CCNC(=O)c1ccccc1-c1ccccc1CNC(=O)Oc1ccccc1,0.450412592,0.8339815,variable-combination,1,1,1,0,0,1,0,0
O=C(O)c1cc(Cl)ccc1-c1ccc(Cl)cc1C(=O)NC1=CC2=C(CC1)c1c(Cl)cc(Cl)cc1C2,0.255082023,0.831286688,poly-substituted,2,2,1,0,1,1,0,1
Cc1cc(O)ccc1-c1ccc(-n2cc(NC(N)=O)c(C(N)=O)n2)cc1C,0.134471085,0.913817306,poly-substituted,2,2,1,0,1,1,0,1
Cc1ccc(-c2cccc(C(=O)[O-])c2)c(-c2cc(Cl)ccc2OCc2ccccc2)c1,0.731984001,0.832371624,poly-substituted,2,2,1,1,0,1,1,0
CSCC[C@H](NC(=O)c1ccc(COCc2ccc(-c3ccccc3F)o2)cc1-c1ccccc1C)C(=O)[O-],0.292864715,0.896982118,poly-substituted,2,1,1,1,0,1,0,0
Oc1c(Br)cc(Br)cc1-c1cc(Br)cc(Br)c1O,0.38517241,0.790571279,poly-substituted,3,3,1,2,0,1,2,0
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C)C(=O)C(C)(C)C)c1C,0.734562107,0.813427826,poly-substituted,1,2,1,0,0,1,0,1
CSCC[C@H](NC(=O)c1ccc(COCc2ccc(-c3ccccc3F)o2)cc1-c1ccccc1C)C(=O)O,0.505704697,0.650709173,poly-substituted,2,1,1,1,0,1,0,0
COc1ccc(S(=O)(=O)Nc2ccc(O)c(-c3ccccc3O)c2)cc1OC,0.46521334,0.710276163,poly-substituted,2,1,1,1,0,1,0,0
COc1ccc2c(c1)/C(=C\c1cc(OC)c(O)c(-c3cc(/C=C4/C(=O)Nc5ccc(OC)cc54)cc(OC)c3O)c1)C(=O)N2,0.325780265,0.953148535,poly-substituted,3,3,1,2,0,1,2,0
CCCc1nc2c(n1Cc1ccc(-c3ccccc3S(=O)(=O)Nc3onc(C)c3C)c(C)c1)C(=O)CCCC2,0.352004294,0.873430586,poly-substituted,2,1,1,0,1,1,0,0
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CNc2ccncn2)c1C,0.42200158,0.845783099,poly-substituted,1,2,1,0,0,1,0,1
CCCc1nc2c(n1Cc1ccc(-c3ccccc3S(=O)(=O)Nc3onc(C)c3C)c(COC)c1)C(=O)CCCC2,0.314601396,0.841487554,poly-substituted,2,1,1,0,1,1,0,0
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2/C=C\c2ccccc2)c1C,0.456022875,0.729006101,poly-substituted,1,2,1,0,0,1,0,1
COc1cccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)ccc2OCC(=O)O)c1OC,0.274818755,0.820719881,poly-substituted,2,2,1,1,0,1,1,0
CC(C)CNC(=O)c1ccc(-c2ccc(-c3ccoc3CO)cc2C(=O)Nc2ccc(C(=N)N)cc2)c(C(=O)O)c1,0.424539948,0.779665662,poly-substituted,2,2,1,0,1,1,0,1
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2noc(C)c2C)c(COCC)c1,0.456161229,0.906589343,poly-substituted,2,1,1,0,1,1,0,0
CSCC[C@H](NC(=O)c1ccc(CN[C@H](CSc2ccccc2C)CC2CCCCC2)cc1-c1ccccc1C)C(=O)O,0.243300029,0.895829443,poly-substituted,2,1,1,1,0,1,0,0
