SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,ortho,meta,para,ortho_r2,meta_r2,para_r2
Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O,0.130395381,0.925038725,variable-combination,1,1,0,0,1,1,0,0
C=C1[C@H](C(=O)NCc2ccc(-c3ccccc3S(N)(=O)=O)cc2)[C@H]1C(=O)NCc1ccc(-c2cccs2)s1,0.137719263,0.936001007,variable-combination,1,1,0,0,1,1,0,0
CCCCc1nc2ccn(C(C(=O)N(CC)CC)c3ccccc3)c(=O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.438219358,0.79321008,variable-combination,1,1,0,0,1,1,0,0
COc1cc2c(cc1N1C[C@@H](C)N[C@@H](C)C1)N(C(=O)c1ccc(-c3ccc(C(C)=O)cc3C)cc1)CC2,0.314776428,0.76814222,poly-substituted,1,2,0,0,1,1,0,1
O=C(O)CC/C=C\CO[C@H]1C(OCc2ccc(-c3ccccc3CCO)cc2)CC[C@@H]1N1CCCCCC1,0.318580361,0.848486222,variable-combination,1,1,0,0,1,1,0,0
CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2ccccc2C2=NOS(=O)N2)cc1,0.305189973,0.898099223,variable-combination,1,1,0,0,1,1,0,0
Cc1nc(Sc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c2cc[nH]c2n1,0.260411115,0.900043891,variable-combination,1,1,0,0,1,1,0,0
CCCCc1nn(C(C)C(=O)OC)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.231629557,0.989668109,variable-combination,1,1,0,0,1,1,0,0
CCCCCN(C(=O)c1ccccc1)c1ccc2nc(CCC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)c4ccccc4)cc3)c(=O)c2c1,0.445541862,0.774298955,variable-combination,1,1,0,0,1,1,0,0
Cc1ccc(NC(=O)c2ccnc(N(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,0.122852676,0.902369277,poly-substituted,2,1,1,1,0,0,0,1
COc1ccc(-c2ccccc2OCCCNc2nc(NCCc3ccc(O)cc3)nc(N3CCNCC3)n2)cc1,0.341875172,0.768296964,variable-combination,1,1,0,0,1,1,0,0
COc1cc2c(cc1OCCN(C)C)N(C(=O)c1ccc(-c3ccc(-c4noc(C)n4)cc3C)cc1)CC2,0.217306385,0.919068314,poly-substituted,1,2,0,0,1,1,0,1
N#Cc1ccc(-c2cc(C(=O)Nc3ccc(N(Cc4ccccc4)Cc4ccccc4)cc3)ccc2NCCNC(=N)N)cc1,0.184105798,0.864819988,poly-substituted,1,2,0,0,1,1,1,0
O=C(O)[C@H]1NCCN(C(=O)c2ccc(-c3ccccc3Br)cc2)[C@H]1C(=O)O,0.255222206,0.910831829,variable-combination,1,1,0,0,1,1,0,0
Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cc3ccccc3cc2C(=N)N(C)C)n1,0.311605144,0.91078101,variable-combination,1,1,0,0,1,1,0,0
CCCCc1cnc(C(C)Cc2ccc(-c3ccccc3C(=O)O)cc2)[nH]1,0.355131545,0.762224955,variable-combination,1,1,0,0,1,1,0,0
COc1nc(Br)cnc1NS(=O)(=O)c1ccccc1-c1ccc(CC(C)C)cc1,0.24182735,0.92640582,variable-combination,1,1,1,0,0,0,0,1
CCCCc1nc2ccccc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.361478086,0.988580359,variable-combination,1,1,0,0,1,1,0,0
CCCCc1nnc(SCc2ccc(C(=O)O)cc2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.501546964,0.752388349,variable-combination,1,1,0,0,1,1,0,0
CNc1ccc(-c2ccc(C(=O)N[C@@H](CC(C)C)C(=O)O)cc2C(=O)O)c(C(=O)Nc2cccc(C(N)=O)c2)c1,0.394550512,0.732071095,poly-substituted,2,2,1,0,1,1,0,1
CCCCC1(CC)CC(=O)N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)/C(=C/C(=O)OCC)C1,0.482325999,0.909116394,variable-combination,1,1,0,0,1,1,0,0
O=C(c1ccccc1-c1ccc(F)cc1)N1CCc2c([nH]c3ccccc23)C1,0.460099222,0.826558212,variable-combination,1,1,1,0,0,0,0,1
C[C@H]1CN(C(=O)c2ccc(-c3ccccc3C(F)(F)F)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,0.150016149,0.92475216,variable-combination,1,1,0,0,1,1,0,0
NC(CO)(CO)CCc1ccc(-c2ccc(Sc3ccc(C(F)(F)F)cc3)cc2F)cc1,0.229617495,0.840775883,poly-substituted,1,2,0,0,1,1,0,1
