SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,ortho,meta,para,ortho_r2,meta_r2,para_r2
O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccc(F)c(F)c2)c(Oc2ccccc2)c1,0.17974566,0.899470545,poly-substituted,2,2,1,0,1,0,1,1
COC(=O)N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)Cc1cc([N+](=O)[O-])ccc1-c1cc(C(C)C)ccc1OC,0.555158391,0.882977459,poly-substituted,2,2,1,0,1,1,1,0
C[C@@H](c1ccc(-c2ccc(F)c(F)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,0.229471542,0.833544225,poly-substituted,1,2,0,0,1,0,1,1
Cc1cc(-c2cccc(CNCc3ccc(F)cc3)c2)ccc1S(=O)(=O)NCCN1CCCC1,0.114751526,0.9465748,poly-substituted,2,1,0,1,1,0,1,0
Cc1nnc(-c2ccc(-c3cc(C(=O)NC4CC4)ccc3C)c(C)c2)o1,0.199863194,0.862412927,poly-substituted,2,2,1,0,1,1,1,0
COc1ccc(-c2cc(OC)c(OC)c(OC)c2)cc1O,0.255760349,0.826766428,poly-substituted,2,3,0,1,1,0,2,1
COc1cc(-c2ccc(C)c(O)c2)cc(OC)c1O,0.261918126,0.765298587,poly-substituted,3,2,0,2,1,0,1,1
COc1ccc(-c2ccc(OCCN(C)CC(=O)O)c(C(=O)c3cccs3)c2)cc1OC,0.14578953,0.946918317,poly-substituted,2,2,0,1,1,0,1,1
COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)cc1F,0.392922224,0.702909001,poly-substituted,2,3,0,1,1,2,1,0
COc1ccc(-c2cc(OC)cc([C@@H](C)C#Cc3c(C)nc(N)nc3N)c2)cc1,0.187349046,0.910808309,poly-substituted,1,2,0,0,1,0,2,0
COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,0.445815045,0.672706259,poly-substituted,2,3,0,1,1,1,1,1
