SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,ortho,meta,para,ortho_r2,meta_r2,para_r2
O=C(c1ccc(-c2ccc(OCCCN3CCOCC3)cc2)cc1)N1CCOCC1,0.150886635,0.94157102,variable-combination,1,1,0,0,1,0,0,1
COc1cc2c(cc1N1C[C@@H](C)N[C@@H](C)C1)N(C(=O)c1ccc(-c3ccc(C(C)=O)cc3C)cc1)CC2,0.314776428,0.76814222,poly-substituted,1,2,0,0,1,1,0,1
O=C1c2ccccc2C(=O)N1Cc1ccc(-c2ccc(-c3cc(=O)cc(N4CCOCC4)s3)cc2)cc1,0.131353695,0.918171344,variable-combination,1,1,0,0,1,0,0,1
CC(C)(C)c1ccc(-c2cc(Cl)c(O)c(C(=O)O)c2)cc1,0.184160477,0.845821937,poly-substituted,1,3,0,0,1,0,2,1
CCCCCc1ccc(C(=O)N(Cc2ccc(-c3ccc(CC(=O)OC)cc3)cc2)C2CCN(CCC(C)C)CC2)cc1,0.401730295,0.644158125,variable-combination,1,1,0,0,1,0,0,1
O=C1C[C@H](c2ccc(-c3ccc(O)cc3)cc2)C2(C(=O)c3ccccc3C2=O)[C@H](c2ccccc2)C1,0.301327113,0.936805216,variable-combination,1,1,0,0,1,0,0,1
CN(C)CCN(Cc1ccc(-c2ccc(CNCCc3ccccc3)cc2)cc1)C(=O)C1CC1c1ccccc1,0.2335066,0.837716475,variable-combination,1,1,0,0,1,0,0,1
CSc1ccc(-c2ccc(/C=C3\C=C(CC(=O)O)c4cc(F)ccc43)cc2)cc1,0.098979706,0.927058564,variable-combination,1,1,0,0,1,0,0,1
CC(C)(C)c1ccc(-c2ccc(C#N)cc2)cc1,0.095025182,0.965705704,variable-combination,1,1,0,0,1,0,0,1
COc1cc2c(cc1OCCN(C)C)N(C(=O)c1ccc(-c3ccc(-c4noc(C)n4)cc3C)cc1)CC2,0.217306385,0.919068314,poly-substituted,1,2,0,0,1,1,0,1
COc1ccc(-c2ccc(S(=O)(=O)NC(CC#Cc3cccc(N4CCOCC4)c3)C(=O)O)cc2)cc1,0.575471326,0.665798568,variable-combination,1,1,0,0,1,0,0,1
COc1ccc(-c2ccc(CN(CCC3CCN(Cc4ccc(C)cc4)CC3)C(=O)NC(C)(C)CO)cc2)cc1,0.395285815,0.753355216,variable-combination,1,1,0,0,1,0,0,1
Fc1ccc2[nH]c(-c3ccc(-c4ccc(CN5CCN(c6ccncc6)CC5)cc4)cc3)nc2c1,0.094306451,0.939223617,variable-combination,1,1,0,0,1,0,0,1
CNc1ccc(-c2ccc(C(=O)N[C@@H](CC(C)C)C(=O)O)cc2C(=O)O)c(C(=O)Nc2cccc(C(N)=O)c2)c1,0.394550512,0.732071095,poly-substituted,2,2,1,0,1,1,0,1
CN([C@H](Cc1ccccc1)C(=O)O)S(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1,0.157488344,0.90611285,variable-combination,1,1,0,0,1,0,0,1
O=C(CC1NC(=O)c2ccccc21)Nc1ccc(-c2ccc(-c3nc4cc(C(F)(F)F)ccc4[nH]3)cc2)cc1,0.061325037,0.979616595,variable-combination,1,1,0,0,1,0,0,1
OCC1CCN(Cc2ccc(-c3ccc(-c4nc5cc(F)ccc5[nH]4)cc3)cc2)CC1,0.055654652,0.987335583,variable-combination,1,1,0,0,1,0,0,1
NC(CO)(CO)CCc1ccc(-c2ccc(Sc3ccc(C(F)(F)F)cc3)cc2F)cc1,0.229617495,0.840775883,poly-substituted,1,2,0,0,1,1,0,1
CN1CCCC(CN2CCN(Cc3ccc(-c4ccc(-c5nc6cc(F)ccc6[nH]5)cc4)cc3)CC2)C1,0.15828489,0.894002551,variable-combination,1,1,0,0,1,0,0,1
Cc1c(-c2ccc(-c3ccc(O)cc3F)cc2)nc2ccc(F)cc2c1C(=O)[O-],0.112606657,0.94374678,poly-substituted,1,2,0,0,1,1,0,1
CN1CCCCC1CCc1cc(C(=O)Nc2ccc(-c3ccc(O)cc3)cc2)ccc1O,0.123443732,0.922881553,variable-combination,1,1,0,0,1,0,0,1
Cc1cc(CCCOc2c(C)cc(-c3ccc(N(C)C)cc3)cc2C)on1,0.212666619,0.897196911,poly-substituted,3,1,0,2,1,0,0,1
O=C(c1ccc(-c2ccc(Cl)cc2)cc1)N(CC1CC1)CC1CCCO1,0.135014459,0.897938633,variable-combination,1,1,0,0,1,0,0,1
O=C(O)c1ccc(-c2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1OC1CCCCC1,0.230139828,0.835732345,poly-substituted,2,1,0,1,1,0,0,1
CC1CN(Cc2ccc(-c3ccc(-c4nc5ccccc5[nH]4)cc3)cc2)CC(C)O1,0.057493054,0.989838054,variable-combination,1,1,0,0,1,0,0,1
COc1ccc(-c2ccc(Cl)cc2)cc1CC(=O)O,0.156203754,0.893547402,poly-substituted,2,1,0,1,1,0,0,1
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(CCC2CCCCC2)nc(=O)c2ccccc21,0.300770988,0.886109567,variable-combination,1,1,0,0,1,0,0,1
Cc1c(C2CCN(CCCCNC(=O)c3ccc(-c4ccc(C#N)cc4)cc3)CC2)c2ccccc2n1CCO,0.172197818,0.932951686,variable-combination,1,1,0,0,1,0,0,1
c1ccc(-c2nn(-c3ccccc3)[n+](-c3ccc(-c4ccc(-[n+]5nc(-c6ccccc6)nn5-c5ccccc5)cc4)cc3)n2)cc1,0.147460088,0.991203091,variable-combination,1,1,0,0,1,0,0,1
CCN(CC)CC(CN(CC)CC)Oc1cc2c(cc1OC)Cc1c-2n[nH]c1-c1ccc(-c2ccc(O)cc2)cc1,0.105872391,0.934742005,variable-combination,1,1,0,0,1,0,0,1
CCCCOc1cc(F)c(-c2ccc(CCC(N)(CO)COP(=O)(O)O)cc2)cc1F,0.148412829,0.926680376,poly-substituted,3,1,1,1,1,0,0,1
Cc1cc(-c2ccc(NC(=O)N3CCc4cc(Cl)c(N5CCN(C)CC5)cc43)cc2)ccc1C#N,0.496990296,0.818852825,poly-substituted,2,1,0,1,1,0,0,1
CCc1cc(-c2ccc(F)cc2)c(O)cc1OCCCOc1cc(Oc2ccc(C(=O)O)cc2)ccc1CCC(=O)O,0.397705055,0.756138605,poly-substituted,3,1,1,1,1,0,0,1
CCCN(CCC)Cc1ccc(-c2ccc(CN(CCC)CCC)cc2)cc1,0.139602461,0.940293227,variable-combination,1,1,0,0,1,0,0,1
CN(C)Cc1ccc(Nc2cc(-c3ccc(-c4ccc(O)cc4O)cc3)[nH]n2)cc1,0.164615948,0.862966311,poly-substituted,1,2,0,0,1,1,0,1
COc1ccc(Cc2sc3ccccc3c2-c2ccc(-c3ccc(O[C@H](Cc4ccccc4)C(=O)O)cc3)cc2)cc1OC,0.26263616,0.828088175,variable-combination,1,1,0,0,1,0,0,1
CCCCc1ccc(-c2ccc(NC(=O)[C@@](C)(N)CO)cc2)cc1,0.047420861,0.983721003,variable-combination,1,1,0,0,1,0,0,1
CCOC(=O)c1cc(C(=O)NCCCCN2CCC(c3ccc(CC)cc3OCC)CC2)ccc1-c1ccc(C(F)(F)F)cc1,0.340902147,0.792488899,poly-substituted,2,1,1,0,1,0,0,1
O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccc(F)c(F)c2)c(Oc2ccccc2)c1,0.17974566,0.899470545,poly-substituted,2,2,1,0,1,0,1,1
CCN(C(=O)CCC(=O)Nc1ccc(-c2ccc(OCC(=O)O)cc2)cc1Cl)c1ccc(C(C)(C)C)cc1Cl,0.240128583,0.837506819,poly-substituted,2,1,0,1,1,0,0,1
CCOCCOc1cc(-c2ccc(CCNC[C@H](O)c3ccccc3)cc2)ccc1C(=O)O,0.372441998,0.821120257,poly-substituted,2,1,0,1,1,0,0,1
N#Cc1ccc(-c2ccc(OS(N)(=O)=O)cc2)c(C#N)c1,0.113340317,0.933064768,poly-substituted,2,1,1,0,1,0,0,1
COc1cc(-c2ccc(CC3NCCc4cc(O)c(O)cc43)cc2)cc(OC)c1OC,0.098261815,0.921284341,poly-substituted,3,1,0,2,1,0,0,1
CC(C)N1CCC(N(Cc2ccc(-c3ccc(Cl)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3ccccc32)CC1,0.441474981,0.876650641,variable-combination,1,1,0,0,1,0,0,1
CCC(c1ccc(-c2ccc(NC(=O)OC(C)(C)C)cc2)cc1)n1ccnc1,0.076199374,0.996003198,variable-combination,1,1,0,0,1,0,0,1
CCNC(=O)c1noc(-c2cc(-c3ccc(F)cc3)c(O)cc2O)c1-c1ccc(CN2CCCCC2)cc1,0.479464609,0.695176486,poly-substituted,3,1,1,1,1,0,0,1
CC(C)N(C(=O)COc1ccc(-c2ccc(C(=O)O)cc2)cc1)C(C)C,0.115370133,0.969100358,variable-combination,1,1,0,0,1,0,0,1
CN(c1ccc(Cl)cc1)c1cc[n+](Cc2ccc(-c3ccc(C[n+]4ccc(N(C)c5ccc(Cl)cc5)cc4)cc3)cc2)cc1,0.287324005,0.793809954,variable-combination,1,1,0,0,1,0,0,1
COc1ccc(-c2ccc(CNC(=O)NC3CCN(Cc4ccc(C)cc4)CC3)cc2)cc1,0.316435961,0.751301076,variable-combination,1,1,0,0,1,0,0,1
CCCCCCCCCN(Cc1ccccc1OC)C(=O)CCCCCNCc1ccc(-c2ccc(-c3ccc(CNCCCCCC(=O)NCc4ccccc4OC)cc3)cc2)cc1,0.362685089,0.909780049,variable-combination,1,1,0,0,1,0,0,1
Cc1cc(-c2ccc(CNC3Cc4ccccc4C3)cc2)ccc1S(=O)(=O)NCCN1CCCC1,0.22209519,0.858025217,poly-substituted,2,1,0,1,1,0,0,1
COc1ccc(-c2ccc(C(=O)N[C@H](C)CCCc3cccnc3)cc2)cc1OC,0.20837485,0.874483123,poly-substituted,2,1,0,1,1,0,0,1
CC1=CC2=NCC(C(=O)c3ccc(-c4ccc(Br)cc4)cc3)CN2C(C)=C1,0.172563887,0.890636393,variable-combination,1,1,0,0,1,0,0,1
CCCCc1nc(Cl)c(C=O)n1Cc1ccc(-c2ccc(-c3nn[nH]n3)cc2)cc1,0.119575503,0.946846537,variable-combination,1,1,0,0,1,0,0,1
CCOC(=O)C1=NOC(c2ccc(-c3ccc(C=O)cc3)cc2)C1,0.170351514,0.868705707,variable-combination,1,1,0,0,1,0,0,1
COc1ccc(-c2ccc(NC(=O)c3ccc(Cl)cc3)cc2)cc1CN1CCNCC1,0.123179741,0.899357324,poly-substituted,2,1,0,1,1,0,0,1
C[C@@H](c1ccc(-c2ccc(F)c(F)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,0.229471542,0.833544225,poly-substituted,1,2,0,0,1,0,1,1
CC(=O)NCn1cc(-c2ccc(-c3ccc(Oc4ccccc4)cc3)cc2)c(=O)o1,0.07920612,0.951258455,variable-combination,1,1,0,0,1,0,0,1
