SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,Ring1_Positions,Ring2_Positions
NC(=O)c1cc2c(Oc3ccc(-c4ccccc4)cc3)cncc2s1,0.269710921,0.841050843,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(Nc1cc(-c2ccc(Cl)cc2)n[nH]1)c1ccc(-c2ccccc2)cc1,0.049111986,0.95333994,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CCc1cc2c(N3CCN(C(=O)c4ccc(-c5ccccc5)cc4)CC3)nc(N3CCCC(C(N)=O)C3)nc2s1,0.299380728,0.801465692,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CCCC[C@H]1CN(c2ccc(OC)c(-c3ccccc3)c2)CC[C@H]1N,0.309334629,0.749100969,single-ring-substituted,2,0,"{'ortho': 1, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
CCNC(=S)Nc1ccc(-c2ccccc2)cc1,0.127458553,0.96239361,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(/C=C/c1cccc(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)NO,0.340245784,0.81706398,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(=O)N1c2ccc(NC(=O)c3ccc(-c4ccccc4)cc3)cc2C(C)(c2ccc(O)cc2)CC1(C)C,0.181516755,0.8897774,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(C)C[C@H](NC(=O)COc1cccc(-c2ccccc2)c1)C(=O)N[C@H]1CC(=O)OC1O,0.36278122,0.697770915,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(Nc1cccc(-c2ccccc2)c1)C1CC(=O)N(C2CCCCCC2)C1,0.337931741,0.844903897,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccccc4-c4ccccc4)CC3)ccc2s1,0.233127368,0.811209019,single-ring-substituted,1,0,"{'ortho': 1, 'meta': 0, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
C[C@@H](CS(=O)(=O)N[C@H](CCC(=O)O)C(=O)O)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,0.441295482,0.845066847,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
