Name,SMILEs,X1s,Y1s
4b,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CC=C(C5=CC=CC=C5)C=C4)C=CC=C3,0.392993187,0.792727779
4c,FC1=CC(C2=CC=CC=C2C3=CC=CC=C3NC4=CC=C(C)C=C4)=CC=C1C5=CC=CC=C5,0.524928123,0.789734427
4d,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CC=C(C5(C6)CC7CC6C[C@H](C5)C7)C=C4)C=CC=C3,0.397749376,0.785225377
4e,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CC=CC(SC)=C4)C=CC=C3,0.555765643,0.806507904
4f,O=C(C)C(C=C1)=CC=C1C2=C(C3=C(NC4=CC=C(C)C=C4)C=CC=C3)C=CC=C2,0.618225669,0.795730943
4g,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CC=CC(OC(F)F)=C4)C=CC=C3,0.53887545,0.707745084
4h,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CC=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C4)C=CC=C3,0.438126818,0.756663758
4i,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=COC=C4)C=CC=C3,0.478474655,0.956265904
4j,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CC(C=CO5)=C5C=C4)C=CC=C3,0.379450929,0.823835123
4k,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CC=C(OC5=C6C=CC=C5)C6=C4)C=CC=C3,0.526029038,0.815559919
4l,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CSC=C4)C=CC=C3,0.392909957,0.883323821
4m,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=C(C(OC)=O)SC=C4)C=CC=C3,0.545673511,0.914547141
4n,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CSC5=C4C=CC=C5)C=CC=C3,0.427052735,0.854330075
4o,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CC=C(N(CC5=C(C)C=CC(C)=C5)C=C6CC7=CC=CC=C7)C6=C4)C=CC=C3,0.569072112,0.816237164
4p,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CN=C(C(F)(F)F)C=C4)C=CC=C3,0.227847448,0.926227658
4q,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CC(C(OCC)=O)=CN=C4)C=CC=C3,0.509951991,0.859588484
4r,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CC(C=CC(C)=N5)=C5C=C4)C=CC=C3,0.647868774,0.692496296
4s,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CC=NC5=C4C=CC=C5)C=CC=C3,0.527708717,0.903816138
4t,NC(N=C1)=C(C(OC)=O)N=C1C2=C(C3=C(NC4=CC=C(C)C=C4)C=CC=C3)C=CC=C2,0.567288357,0.814028697
4u,FC1=CC2=C(N(C(C)C)C(C)=N2)C=C1C3=C(C4=C(NC5=CC=C(C)C=C5)C=CC=C4)C=CC=C3,0.486058508,0.699907498
4v,N#CC1=C2C(OC)=CC(C3=CC=CC=C3C4=CC=CC=C4NC5=CC=C(C)C=C5)=CN2N=C1,0.616166845,0.772966628
4w,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CN=C(OC)N=C4)C=CC=C3,0.415766051,0.818660551
4x,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CCN(CC4)C(OC(C)(C)C)=O)C=CC=C3,0.246232726,0.969280377
5a,FC(C=CC=C1)=C1NC(C=CC=C2)=C2C3=C(C4=CC=C(C(F)(F)F)C=C4)C=CC=C3,0.220053666,0.922863697
5b,ClC(C=CC=C1)=C1NC(C=CC=C2)=C2C3=C(C4=CC=C(C(F)(F)F)C=C4)C=CC=C3,0.542445568,0.843450442
5c,FC(C(C=C1)=CC=C1C2=C(C3=C(NC4=C(SC)C=CC=C4)C=CC=C3)C=CC=C2)(F)F,0.646915182,0.900453795
5d,FC(C(C=C1)=CC=C1C2=C(C3=C(NC4=CC=CC(OC)=C4)C=CC=C3)C=CC=C2)(F)F,0.426878109,0.859676409
5e,FC(C(C=C1)=CC=C1C(C=CC=C2)=C2C3=CC=CC=C3NC4=CC=C(OC(F)(F)F)C=C4)(F)F,0.354401135,0.783900473
5f,FC(C(C=C1)=CC=C1C2=C(C3=C(NC4=C(C)C=CC=C4)C=CC=C3)C=CC=C2)(F)F,0.506797174,0.740224299
5g,FC(C(C=C1)=CC=C1C2=C(C3=C(NC4=C(C)C=C(C)C=C4C)C=CC=C3)C=CC=C2)(F)F,0.189977256,0.914662018
5h,FC(C(C=C1)=CC=C1C2=C(C3=C(NC4=C(N=C(C)C=C5)C5=CC=C4)C=CC=C3)C=CC=C2)(F)F,0.450053205,0.966476229
5i,FC(C(C=C1)=CC=C1C2=C(C3=C(NC4=CC(C(C=CC=C5)=C5S6)=C6C=C4)C=CC=C3)C=CC=C2)(F)F,0.292112239,0.904581111
5j,FC(C(C=C1)=CC=C1C2=C(C3=C(N4C=CC=C4)C=CC=C3)C=CC=C2)(F)F,0.372037381,0.845761425
5k,FC(C(C=C1)=CC=C1C(C=CC=C2)=C2C3=C(N4CCCC4)C=CC=C3)(F)F,0.460346915,0.826814343
5l,FC(C(C=C1)=CC=C1C(C=CC=C2)=C2C3=C(N4CCOCC4)C=CC=C3)(F)F,0.51388105,0.929046349
5m,NC(C=CC=C1)=C1C2=CC=CC=C2C3=CC=C(C(F)(F)F)C=C3,0.356347304,0.820071157
5n,FC(C(C=C1)=CC=C1C2=C(C3=C(SC4CCCCC4)C=CC=C3)C=CC=C2)(F)F,0.605393199,0.688172313
5o,OC(C=CC=C1)=C1C2=C(C3=CC=C(C(F)(F)F)C=C3)C=CC=C2,0.327287947,0.792802624
5p,CCCCOC1=C(C2=C(C3=CC=C(C(F)(F)F)C=C3)C=CC=C2)C=CC=C1,0.544348237,0.791570324
5q,CC(C)OC1=C(C2=C(C3=CC=C(C(F)(F)F)C=C3)C=CC=C2)C=CC=C1,0.337072444,0.854914066
