SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,ortho,meta,para,ortho_r2,meta_r2,para_r2
O=C(c1ccc(-c2ccc(OCCCN3CCOCC3)cc2)cc1)N1CCOCC1,0.150886635,0.94157102,variable-combination,1,1,0,0,1,0,0,1
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3cccc(-c4ccc(C[n+]5ccccc5N)cc4)c3)C[C@H]12,0.160703132,0.956374764,variable-combination,1,1,0,1,0,0,0,1
NC(=O)c1cc2c(Oc3ccc(-c4ccccc4)cc3)cncc2s1,0.269710921,0.841050843,single-ring-substituted,1,0,0,0,1,0,0,0
O=C(Nc1cc(-c2ccc(Cl)cc2)n[nH]1)c1ccc(-c2ccccc2)cc1,0.049111986,0.95333994,single-ring-substituted,1,0,0,0,1,0,0,0
O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3cccc(Cl)c3)cc1)n2C1CCCCC1,0.266225351,0.839801296,poly-substituted,2,1,1,0,1,0,1,0
Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O,0.130395381,0.925038725,variable-combination,1,1,0,0,1,1,0,0
C=C1[C@H](C(=O)NCc2ccc(-c3ccccc3S(N)(=O)=O)cc2)[C@H]1C(=O)NCc1ccc(-c2cccs2)s1,0.137719263,0.936001007,variable-combination,1,1,0,0,1,1,0,0
CCCCc1nc2ccn(C(C(=O)N(CC)CC)c3ccccc3)c(=O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.438219358,0.79321008,variable-combination,1,1,0,0,1,1,0,0
COc1cc2c(cc1N1C[C@@H](C)N[C@@H](C)C1)N(C(=O)c1ccc(-c3ccc(C(C)=O)cc3C)cc1)CC2,0.314776428,0.76814222,poly-substituted,1,2,0,0,1,1,0,1
CCc1cc2c(N3CCN(C(=O)c4ccc(-c5ccccc5)cc4)CC3)nc(N3CCCC(C(N)=O)C3)nc2s1,0.299380728,0.801465692,single-ring-substituted,1,0,0,0,1,0,0,0
O=C(O)CC/C=C\CO[C@H]1C(OCc2ccc(-c3ccccc3CCO)cc2)CC[C@@H]1N1CCCCCC1,0.318580361,0.848486222,variable-combination,1,1,0,0,1,1,0,0
CCCC[C@H]1CN(c2ccc(OC)c(-c3ccccc3)c2)CC[C@H]1N,0.309334629,0.749100969,single-ring-substituted,2,0,1,1,0,0,0,0
c1cc(-c2ccc(CNC3CCOCC3)cc2)cc(-c2nc3ccccc3[nH]2)c1,0.10106972,0.918276214,variable-combination,1,1,0,1,0,0,0,1
