SMILEs,X1s,Y1s
O=C(c1ccc(-c2ccc(OCCCN3CCOCC3)cc2)cc1)N1CCOCC1,0.150886635,0.94157102
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3cccc(-c4ccc(C[n+]5ccccc5N)cc4)c3)C[C@H]12,0.160703132,0.956374764
CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(C(=O)N(C)C)[C@H]2C3)c1,0.269671121,0.810020484
O=[N+]([O-])c1ccc2c(c1)Cc1ccccc1-2,0.121572352,0.880019639
NC(=O)c1cc2c(Oc3ccc(-c4ccccc4)cc3)cncc2s1,0.269710921,0.841050843
O=C(Nc1cc(-c2ccc(Cl)cc2)n[nH]1)c1ccc(-c2ccccc2)cc1,0.049111986,0.95333994
CCOC(=O)c1ccc(C2Oc3cccc(OC)c3-c3ccc(NS(C)(=O)=O)cc32)cc1,0.386603576,0.698293399
O=C(O)c1cc2c(cc1O)-c1[nH]c3cc(-c4ccccc4)ccc3c1CC2,0.088863083,0.917943639
O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3cccc(Cl)c3)cc1)n2C1CCCCC1,0.266225351,0.839801296
Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O,0.130395381,0.925038725
C=C1[C@H](C(=O)NCc2ccc(-c3ccccc3S(N)(=O)=O)cc2)[C@H]1C(=O)NCc1ccc(-c2cccs2)s1,0.137719263,0.936001007
CCCCc1nc2ccn(C(C(=O)N(CC)CC)c3ccccc3)c(=O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.438219358,0.79321008
COc1cc2c(cc1N1C[C@@H](C)N[C@@H](C)C1)N(C(=O)c1ccc(-c3ccc(C(C)=O)cc3C)cc1)CC2,0.314776428,0.76814222
Cc1cccc(C)c1-c1cc(C)c2nc(Nc3ccc(OCCCN4CCCC4)cc3)nnc2c1,0.16127173,0.895102848
COc1cccc(-c2cccc3c2CN(Cc2ccccc2)CC3)c1,0.578333266,0.689218746
CCc1cc2c(N3CCN(C(=O)c4ccc(-c5ccccc5)cc4)CC3)nc(N3CCCC(C(N)=O)C3)nc2s1,0.299380728,0.801465692
O=C(O)CC/C=C\CO[C@H]1C(OCc2ccc(-c3ccccc3CCO)cc2)CC[C@@H]1N1CCCCCC1,0.318580361,0.848486222
O=C(O)C1=C(C(=O)Nc2ccc(-c3cccc4ccccc34)cc2C(F)(F)F)CCC1,0.173926027,0.88604655
CS(=O)(=O)Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5ccc(N6CCNCC6)c(C(F)(F)F)c5)c4c3c2)cc1,0.363090556,0.741347407
CCCC[C@H]1CN(c2ccc(OC)c(-c3ccccc3)c2)CC[C@H]1N,0.309334629,0.749100969
c1cc(-c2ccc(CNC3CCOCC3)cc2)cc(-c2nc3ccccc3[nH]2)c1,0.10106972,0.918276214
O=C1c2ccccc2C(=O)N1Cc1ccc(-c2ccc(-c3cc(=O)cc(N4CCOCC4)s3)cc2)cc1,0.131353695,0.918171344
CC(C)(C)c1ccc(-c2cc(Cl)c(O)c(C(=O)O)c2)cc1,0.184160477,0.845821937
CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2ccccc2C2=NOS(=O)N2)cc1,0.305189973,0.898099223
CCNC(=S)Nc1ccc(-c2ccccc2)cc1,0.127458553,0.96239361
C[C@@H](c1ccc(-c2cccc(-c3noc(O)n3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,0.185206785,0.860247894
CCCCCc1ccc(C(=O)N(Cc2ccc(-c3ccc(CC(=O)OC)cc3)cc2)C2CCN(CCC(C)C)CC2)cc1,0.401730295,0.644158125
O=C1C[C@H](c2ccc(-c3ccc(O)cc3)cc2)C2(C(=O)c3ccccc3C2=O)[C@H](c2ccccc2)C1,0.301327113,0.936805216
CCN(CC)Cn1nc2c3c(cccc3c1=O)-c1ccccc1-2,0.292090536,0.815497384
Cc1nc(Sc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c2cc[nH]c2n1,0.260411115,0.900043891
CN(C)CCN(Cc1ccc(-c2ccc(CNCCc3ccccc3)cc2)cc1)C(=O)C1CC1c1ccccc1,0.2335066,0.837716475
COc1cc(COC(=O)c2ccccc2)c(-c2cc3c(cc2COC(=O)c2ccccc2)OCO3)c(OC)c1OC,0.321173559,0.790402921
CSc1ccc(-c2ccc(/C=C3\C=C(CC(=O)O)c4cc(F)ccc43)cc2)cc1,0.098979706,0.927058564
CCCCc1nn(C(C)C(=O)OC)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.231629557,0.989668109
Cn1cncc1C(=O)Nc1cccc(-c2ccc(-c3nc4cc(F)ccc4[nH]3)cc2)c1,0.082574186,0.925034906
CC(C)(C)c1ccc(-c2ccc(C#N)cc2)cc1,0.095025182,0.965705704
CN(C)Cc1ccc(-c2cccc(Nc3nccc(NCC(O)c4ccccc4)n3)c2)cc1,0.515870589,0.588073467
CCCCCN(C(=O)c1ccccc1)c1ccc2nc(CCC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)c4ccccc4)cc3)c(=O)c2c1,0.445541862,0.774298955
Cc1ccc(NC(=O)c2ccnc(N(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,0.122852676,0.902369277
O=C(/C=C/c1cccc(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)NO,0.340245784,0.81706398
CC(=O)N1c2ccc(NC(=O)c3ccc(-c4ccccc4)cc3)cc2C(C)(c2ccc(O)cc2)CC1(C)C,0.181516755,0.8897774
CC(C)C[C@H](NC(=O)COc1cccc(-c2ccccc2)c1)C(=O)N[C@H]1CC(=O)OC1O,0.36278122,0.697770915
COc1ccc(-c2ccccc2OCCCNc2nc(NCCc3ccc(O)cc3)nc(N3CCNCC3)n2)cc1,0.341875172,0.768296964
O=C(Nc1cccc(-c2ccccc2)c1)C1CC(=O)N(C2CCCCCC2)C1,0.337931741,0.844903897
Cc1c(C(=O)c2ccc(CN(C)C)cc2)oc2cc(-c3ccccc3)cc(O)c12,0.12479328,0.932207394
COc1cc2c(cc1OCCN(C)C)N(C(=O)c1ccc(-c3ccc(-c4noc(C)n4)cc3C)cc1)CC2,0.217306385,0.919068314
N#Cc1cc(Cn2cncn2)cc(-c2ccc(F)cc2)c1,0.264542587,0.827554503
Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccccc4-c4ccccc4)CC3)ccc2s1,0.233127368,0.811209019
C[C@@H](CS(=O)(=O)N[C@H](CCC(=O)O)C(=O)O)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,0.441295482,0.845066847
COC(=O)c1cccc(C(=O)NCc2cccc(-c3cccc(CN4CCNCC4)c3)c2)c1,0.457471182,0.709323526
Cn1cccc1CCNCc1ccc(-c2cccc(-c3nc4ccccc4[nH]3)c2)cc1,0.159701733,0.923266708
N#Cc1ccc(-c2cc(C(=O)Nc3ccc(N(Cc4ccccc4)Cc4ccccc4)cc3)ccc2NCCNC(=N)N)cc1,0.184105798,0.864819988
CC1(C)CCC(C)(C)c2cc(-c3cc(-c4ccc(/C=C/C(=O)O)cc4)ccc3O)ccc21,0.128636713,0.924505231
CC(C)c1cc(-c2cccc(C(Cc3cc[n+]([O-])cc3)c3ccc(Cl)cc3)c2)c2ncccc2c1,0.381398009,0.820616827
O=C(O)[C@H]1NCCN(C(=O)c2ccc(-c3ccccc3Br)cc2)[C@H]1C(=O)O,0.255222206,0.910831829
O=C1COC(c2cccs2)(c2cccs2)c2cc(-c3ccc(F)c(Cl)c3)ccc2N1,0.295648101,0.878436133
COc1c2c(c(O)c3c1C(=O)c1c(cc(O)c(C)c1O)C3=O)-c1c(cc(/C=N/N=C(\S)NC3CCCCCCC3)c(C(=O)O)c1O)CC2,0.094278452,0.925153116
O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2OCO[C@H]2C(=O)Nc2ccccc2-c2ccccc2)C(=O)O)cc1)c1cc(Cl)nc(Cl)c1,0.143863724,0.94199025
CCCc1c(C(=O)NCC(N)C(=O)O)[nH]c2cccc(-c3ccccc3CC)c12,0.24449512,0.896488695
Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cc3ccccc3cc2C(=N)N(C)C)n1,0.311605144,0.91078101
COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)[C@H](OC(=O)c1ccccc1)[C@H](C)[C@](C)(O)[C@H]2C(=O)c1ccccc1,0.501619815,0.942464735
CCCCc1cnc(C(C)Cc2ccc(-c3ccccc3C(=O)O)cc2)[nH]1,0.355131545,0.762224955
COc1ccc(-c2ccc(S(=O)(=O)NC(CC#Cc3cccc(N4CCOCC4)c3)C(=O)O)cc2)cc1,0.575471326,0.665798568
Cc1ccccc1-c1cc(C(OCc2ccc3ccccc3c2)c2cncn2C)ccc1C#N,0.490363338,0.736817412
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3CO)cccc12,0.4019139,0.746399468
CC(=O)NC(C)c1ccc(-c2ccc(Oc3ccc(-c4c(O)ccc5c4CCCC5)cc3)cc2)cc1,0.080615481,0.97010079
O=C(O)c1ccc2cc(-c3cc(O)c(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1,0.182084925,0.858143814
CCCCCCn1cc(CC(N)=O)c2cc(-c3ccc(Oc4ccccc4)cc3)ccc21,0.242924425,0.807365268
COc1nc(Br)cnc1NS(=O)(=O)c1ccccc1-c1ccc(CC(C)C)cc1,0.24182735,0.92640582
CS(=O)(=O)c1ccc(-c2cccc3c(C(=O)O)c(O)c(-c4ccc(Cl)cc4)nc23)cc1,0.398041851,0.634590813
O=C([O-])c1c2c(nc3ccc(F)cc13)-c1ccc(-c3ccccc3C(F)(F)F)cc1CC2,0.15514635,0.949191958
COc1ccc(CNCc2ccc(-c3cccc(-c4nc5cccc(C)c5[nH]4)c3)cc2)cc1,0.17773575,0.881983386
CS(=O)(=O)Nc1ccc2c(c1)C(c1ccccc1)Oc1cccc(CO)c1-2,0.374851357,0.709908976
CCCCc1nc2ccccc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.361478086,0.988580359
COc1ccc(-c2ccc(CN(CCC3CCN(Cc4ccc(C)cc4)CC3)C(=O)NC(C)(C)CO)cc2)cc1,0.395285815,0.753355216
Fc1ccc2[nH]c(-c3ccc(-c4ccc(CN5CCN(c6ccncc6)CC5)cc4)cc3)nc2c1,0.094306451,0.939223617
CC(C)(c1cc(-c2cccc(-c3cnc4nc[nH]c4c3)c2)c2ncccc2c1)S(C)(=O)=O,0.252446196,0.843684952
CCCCc1nnc(SCc2ccc(C(=O)O)cc2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.501546964,0.752388349
CC(C)n1cnc2c(NCc3ccc(-c4ccccc4)cc3)nc(N[C@H]3CC[C@H](NS(=O)(=O)C(F)(F)F)CC3)nc21,0.343122156,0.841106487
CNc1ccc(-c2ccc(C(=O)N[C@@H](CC(C)C)C(=O)O)cc2C(=O)O)c(C(=O)Nc2cccc(C(N)=O)c2)c1,0.394550512,0.732071095
COc1cc2c(c(OC)c1OC)-c1cc3c(cc1[C@H](OC(C)=O)[C@H]1COC(=O)[C@@H]1C2)OCO3,0.488783829,0.63876914
CCCCC1(CC)CC(=O)N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)/C(=C/C(=O)OCC)C1,0.482325999,0.909116394
O=C(c1ccccc1-c1ccc(F)cc1)N1CCc2c([nH]c3ccccc23)C1,0.460099222,0.826558212
O=c1c2cccc3c2c(nn1CN1CCCCC1)-c1ccccc1-3,0.384447793,0.760314343
CC(C)c1cc(-c2cccc(/C=C(/C(=O)O)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1,0.267796938,0.805804438
C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2ccccc2-c2ccccc2)c1,0.106766468,0.969489502
C[C@@H](N/C(=N\c1ccc(-c2ccccc2)cc1)Nc1ccc(C#N)cc1O)c1ccc(Br)cc1,0.656146686,0.815158516
COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2c(C)cc(O)c3c2C(=O)c2cccc(O)c2C3=O)c(O)c1C(C)=O,0.64401926,0.709394509
Cc1cc(-c2ccccc2)ccc1C(=O)N1CCN(C(=O)c2ccc3cc[nH]c3c2)[C@@H](C)C1,0.272807453,0.804048729
N#Cc1ccc(CN(Cc2ccc(C#N)cc2)c2ccc(NC(=O)c3ccc(NC(=O)CNC(=N)N)c(-c4ccc5ccccc5c4)c3)cc2)cc1,0.718370834,0.894351848
C[C@H]1CN(C(=O)c2ccc(-c3ccccc3C(F)(F)F)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,0.150016149,0.92475216
Cc1cc2c(cc1-c1cc(/C=C/C(=O)O)ccc1OC(F)(F)F)NC(=O)CC2(C)C,0.362789836,0.72494141
O=C(Nc1cc(-c2ccccc2)ccc1N1CCN(Cc2ccccc2)CC1)c1cccc2ccccc12,0.401306486,0.700155348
O=c1[nH]sc2c1c(=O)c1cc(F)c(-c3ccc(CO)cc3)cc1n2C1CC1,0.178096204,0.846267044
CN([C@H](Cc1ccccc1)C(=O)O)S(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1,0.157488344,0.90611285
CCn1c(=O)c2c(c3ccc(-c4cc(/C=C/C(=O)O)ccc4OC(F)(F)F)cc31)CCC2,0.325226306,0.753694743
CS(=O)(=O)c1ccc(-c2cc3c(cc2CC2CCCC2)OCO3)cc1,0.27311039,0.829332705
Cc1cc(-c2ccc(F)cc2)cc2[nH]c(-c3c(N[C@H](CO)Cc4ccccc4)cc[nH]c3=O)nc12,0.257690093,0.866424308
Cn1ncc(NCc2ccncc2)c1C(=O)Nc1ccc(-c2ccccc2)cc1,0.221607585,0.798330797
COc1cc(OC)c2cc(-c3ccccc3)ccc2n1,0.189747426,0.824307267
Cc1noc(NS(=O)(=O)c2ccccc2-c2cccc(CC(C)C)c2)c1C,0.505779912,0.607244524
O=C(CC1NC(=O)c2ccccc21)Nc1ccc(-c2ccc(-c3nc4cc(C(F)(F)F)ccc4[nH]3)cc2)cc1,0.061325037,0.979616595
N#Cc1c(N)[n+]([O-])c2cc(-c3ccc([N+](=O)[O-])cc3)ccc2[n+]1[O-],0.099153669,0.910744412
O=C(COCCCCOc1ccc(-c2ccccc2)cc1)C(F)(F)F,0.262863891,0.845266422
CN1C(=S)OC(C)(C)c2cc(-c3cccc(Br)c3)ccc21,0.14220733,0.882342412
OCC1CCN(Cc2ccc(-c3ccc(-c4nc5cc(F)ccc5[nH]4)cc3)cc2)CC1,0.055654652,0.987335583
N=C(N)c1ccc(O)c(CCCNC(=O)c2ccc(-c3ccccc3)cc2)c1,0.296294942,0.878513317
N#Cc1ccc(Cn2cncc2Cn2ccc3cc(-c4cccc5ccccc45)ccc32)cc1,0.298129381,0.829192563
Brc1ccc2[nH]cc(-c3nc(-c4ccc(-c5ccccc5)cc4)c(-c4ccc(-c5ccccc5)cc4)[nH]3)c2c1,0.323483567,0.702606874
CC(C)=CCC/C(C)=C\Cc1cc(-c2ccc3cc(C(=O)O)ccc3c2)ccc1O,0.281503906,0.772550202
NC(CO)(CO)CCc1ccc(-c2ccc(Sc3ccc(C(F)(F)F)cc3)cc2F)cc1,0.229617495,0.840775883
COc1ccc2nccc([C@@H](O)CN3CCC(NC(=O)/C(=C/c4ccccc4)c4ccc(-c5ccccc5)cc4)CC3)c2c1,0.229474252,0.941741585
CCCCc1nc2cc(NC(=O)N(c3ccccc3)c3ccccc3)c(C)nc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.245426526,0.974638218
CC(=O)Nc1nc(C(=O)Nc2ccc(-c3cccc(-c4nc5ccccc5[nH]4)c3)cc2)cs1,0.121784835,0.88647977
CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)C2CC2)cc1,0.350797049,0.829049519
CS(=O)(=O)Nc1cccc(-c2ccccc2[C@@H]2Cc3nccn3C2)c1,0.314617733,0.925805086
CCCN(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)c1ncnc2c1ncn2Cc1ccccc1,0.205100697,0.897553425
O[C@@H](CN1c2cccc(-c3cccc(OC(F)(F)F)c3)c2CC[C@@H]1c1cccc(OC(F)(F)C(F)F)c1)C(F)(F)F,0.305150934,0.888951844
CN(CCC(=O)N1CCN(c2ccccc2Cl)CC1)CCC1c2ccccc2-c2ccccc21,0.351681805,0.926323017
NCCCC[C@H](NCc1cc2ccccc2c(-c2c(O)c(CN[C@@H](CCCCN)C(=O)O)cc3ccccc23)c1O)C(=O)O,0.303794765,0.928123972
CC(CO)(CO)NCc1cc2c3c(cccc3c1)-c1ccccc1-2,0.21174247,0.85599425
c1ccc(NNc2nnc(-c3ccccc3-c3ccccc3)s2)cc1,0.355878523,0.816503887
CC(=O)c1ccc(NC(=O)NCc2cccc(-c3cccc(-c4cc5c[nH]ccc-5n4)c3O)c2)cc1,0.451004171,0.62213554
CCCOC1(c2ccc(-c3ccccc3)cc2)CN(C)C2CCCCC2O1,0.286371615,0.889908675
O=C(NO)[C@H]1CCCCN1S(=O)(=O)N1CC=C(c2ccc(-c3ccccc3)cc2)CC1,0.078010979,0.957200454
Cc1cc(O)c2c(c1)C(=O)c1cc(O)c(-c3c(C)cc4c(c3O)C(=O)c3c(O)cccc3C4=O)c(O)c1C2=O,0.141751439,0.982088667
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,0.268353855,0.87966432
CN1CCCC(CN2CCN(Cc3ccc(-c4ccc(-c5nc6cc(F)ccc6[nH]5)cc4)cc3)CC2)C1,0.15828489,0.894002551
COc1cc(Nc2ncnc3ccc(-c4ccc(CN5C[C@@H]6[C@H](CO)[C@@H]6C5)cc4)cc23)ccc1Oc1ccccc1,0.110039741,0.918436671
O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)C1(S(=O)(=O)C2CCCCC2)CCCC1,0.366201142,0.738903105
